"","city_name","lon","lat","dest_cancelled.counter","dest_delay.counter","dest_nas_delay.counter","dest_carrier_delay.counter","dest_weather_delay.counter","dest_security_delay.counter","dest_late_aircraft_delay.counter","origin_flights.sum","origin_cancelled.counter","origin_delay.counter","origin_nas_delay.counter","origin_carrier_delay.counter","origin_weather_delay.counter","origin_security_delay.counter","origin_late_aircraft_delay.counter"
"230","Ogdensburg, NY",-75.4863364,44.6942291,4,14,5,3,3,0,0,68,5,30,15,4,1,0,7
"231","Oklahoma City, OK",-97.5164276,35.4675602,170,6375,1309,1882,158,5,1794,17167,191,4881,1125,1059,124,8,1527
"232","Omaha, NE",-95.9345034,41.2565369,223,7530,1510,2127,211,6,2225,20869,229,5655,1756,1322,96,3,1716
"233","Ontario, CA",-117.6508876,34.0633443,161,8614,1441,2474,78,18,2795,21106,180,8099,1721,1646,47,23,2529
"234","Orlando, FL",-81.3792365,28.5383355,2509,48115,13590,14780,1163,97,12988,129151,2450,49036,12172,12578,1634,131,12699
"235","Owensboro, KY",-87.1111676,37.7719074,3,15,2,5,0,0,9,37,3,20,6,6,2,0,10
"236","Paducah, KY",-88.6000478,37.0833893,22,191,65,55,4,0,69,688,24,155,83,24,4,1,60
"237","Palm Springs, CA",-116.5452921,33.8302961,64,2598,954,690,56,1,857,9599,71,2405,875,520,27,5,625
"238","Panama City, FL",-85.6602058,30.1588129,75,1648,269,446,60,1,401,4512,76,1220,236,258,34,0,389
"239","Pasco/Kennewick/Richland, WA",-119.119948,46.2086683,50,1047,338,269,21,0,385,3804,53,747,282,113,19,1,352
"240","Pellston, MI",-84.7839364,45.552789,33,235,70,65,18,7,53,1024,56,258,45,24,8,4,97
"241","Pensacola, FL",-87.2169149,30.421309,113,2171,419,626,100,4,546,6872,121,1583,371,318,36,3,512
"242","Peoria, IL",-89.5889864,40.6936488,62,1035,389,333,59,1,428,3653,76,969,358,248,61,2,408
"243","Petersburg, AK",-132.9555556,56.8125,10,195,74,38,8,2,70,726,16,145,54,12,4,2,59
"244","Philadelphia, PA",-75.1652215,39.9525839,2237,27204,9018,6899,895,49,6755,85047,2192,29057,11357,9515,596,65,8062
"245","Phoenix, AZ",-112.0740373,33.4483771,1307,61756,16251,15113,888,107,15820,162296,962,60665,11347,14019,343,166,15217
"246","Pittsburgh, PA",-79.9958864,40.4406248,600,12148,2504,3868,338,19,3515,35199,622,9901,3600,2255,207,12,2841
"247","Plattsburgh, NY",-73.4529124,44.6994873,8,159,52,45,3,1,21,561,9,193,92,49,7,1,61
"248","Pocatello, ID",-112.4506191,42.8621042,3,155,76,41,7,0,36,1068,2,192,105,19,3,0,84
"249","Portland, ME",-70.2568189,43.6590993,313,2475,624,923,62,4,833,7327,358,2203,875,581,42,3,785
"250","Portland, OR",-122.6587185,45.5122308,376,20587,5322,5376,323,52,5692,63687,388,18606,4944,3880,236,18,4216
"251","Portsmouth, NH",-70.7625532,43.0717552,2,41,14,15,1,1,15,117,5,50,14,13,3,0,22
"252","Providence, RI",-71.4128343,41.8239891,437,5835,1119,1689,139,5,1691,15390,466,4845,1617,1255,79,3,1323
"253","Provo, UT",-111.6585337,40.2338438,4,46,17,19,0,1,15,169,4,58,12,14,2,0,21
"254","Pueblo, CO",-104.6091409,38.2544472,2,71,25,23,5,0,25,329,5,75,42,15,2,2,28
"255","Punta Gorda, FL",-82.0453664,26.9297836,11,817,288,223,27,3,310,1976,6,667,190,194,15,10,185
"256","Quincy, IL",-91.4098726,39.9356016,22,104,59,40,3,0,38,384,28,112,44,11,1,0,69
"257","Raleigh/Durham, NC",-78.8636402,35.8991678,790,15718,3852,5184,468,21,4428,43547,852,15224,4620,3946,329,19,4559
"258","Rapid City, SD",-103.2310149,44.0805434,41,845,250,250,33,1,261,3545,45,749,217,128,37,2,256
"259","Redding, CA",-122.3916754,40.5865396,27,285,91,88,3,0,136,1065,31,247,152,14,2,0,120
"260","Reno, NV",-119.8138027,39.5296329,93,6648,1379,1925,90,9,2104,16590,120,6026,1405,1330,67,5,1954
"261","Rhinelander, WI",-89.4120753,45.6366228,19,135,27,20,6,0,30,726,20,104,46,25,4,3,36
"262","Richmond, VA",-77.4360481,37.5407246,419,6392,1680,2352,222,10,2032,18166,417,5769,2108,1751,93,12,1739
"263","Roanoke, VA",-79.9414266,37.2709704,38,582,168,199,33,0,167,1765,43,641,184,157,14,0,237
"264","Rochester, MN",-92.4801989,44.0121221,73,944,347,301,29,0,381,3117,81,810,409,221,36,2,400
"265","Rochester, NY",-77.6088465,43.1565779,298,3208,739,1143,111,2,966,9693,320,2758,1069,651,88,3,905
"266","Rock Springs, WY",-109.2029043,41.5874644,6,128,34,37,0,0,54,673,8,113,32,9,7,2,32
"267","Rockford, IL",-89.0939952,42.2711311,0,58,14,17,0,1,14,258,1,83,30,26,2,1,26
"268","Roswell, NM",-104.5230242,33.3942655,10,120,32,36,8,1,36,715,13,137,42,39,5,1,43
"269","Sacramento, CA",-121.4943996,38.5815719,291,18601,3075,4969,228,32,5841,45838,297,16442,3205,3491,124,12,4966
"270","Saginaw/Bay City/Midland, MI",-84.081498,43.538647,40,621,180,191,29,0,217,2711,44,471,195,107,22,0,212
"271","Salina, KS",-97.6114237,38.8402805,0,15,9,6,0,0,7,56,0,18,10,1,0,0,10
"272","Salt Lake City, UT",-111.8910474,40.7607793,421,31163,6770,7324,696,58,8369,112248,366,30606,6984,6844,902,25,6272
"273","San Angelo, TX",-100.4370375,31.4637723,16,224,77,79,9,0,92,1074,20,264,84,82,13,0,101
"274","San Antonio, TX",-98.4936282,29.4241219,391,14155,2670,4039,362,14,4011,35319,427,11672,2418,2806,146,8,3412
"275","San Diego, CA",-117.1610838,32.715738,791,32905,7286,8612,541,56,8840,86872,868,30610,7693,6306,208,83,8588
"276","San Francisco, CA",-122.4194155,37.7749295,2562,66135,30781,12764,1771,94,18174,177658,2550,62732,22367,16560,553,104,21633
"277","San Jose, CA",-121.8863286,37.3382082,374,19323,3449,5197,190,28,6058,51177,397,18771,3552,4924,105,68,5535
"278","San Luis Obispo, CA",-120.6596156,35.2827524,61,988,513,278,20,2,488,3818,70,1072,580,167,7,6,452
"279","Sanford, FL",-81.269453,28.8028612,25,1491,461,444,75,9,640,3306,18,1104,328,416,35,8,292
"280","Santa Ana, CA",-117.867653,33.7454725,303,14850,2853,3904,233,20,3932,41953,333,14658,3200,2686,142,5,4005
"281","Santa Barbara, CA",-119.6981901,34.4208305,112,1490,546,405,35,1,662,5830,111,1326,626,140,16,0,593
"282","Santa Fe, NM",-105.937799,35.6869752,7,319,80,139,1,0,96,1456,11,286,66,73,1,0,128
"283","Santa Maria, CA",-120.4357191,34.9530337,0,8,0,1,0,0,1,52,0,19,4,5,0,0,3
"284","Santa Rosa, CA",-122.7140548,38.440429,74,413,168,107,9,0,198,1482,76,492,265,113,4,4,248
"285","Sarasota/Bradenton, FL",-82.5306527,27.3364347,70,1227,306,370,57,0,222,3924,81,1083,293,283,17,1,336
"286","Sault Ste. Marie, MI",-84.3475876,46.4977115,12,168,43,50,5,0,53,676,15,186,102,51,6,11,65
"287","Savannah, GA",-81.091203,32.0808989,279,2968,722,933,142,5,774,9945,316,2844,821,588,77,1,814
"288","Scottsbluff, NE",-103.6671662,41.8666341,2,34,14,13,4,0,14,155,2,24,22,7,0,0,14
"289","Scranton/Wilkes-Barre, PA",-75.9927652,41.2981769,57,747,183,224,34,1,255,2407,63,669,273,145,27,0,220
"290","Seattle, WA",-122.3320708,47.6062095,865,42554,15545,9542,1067,130,9985,139132,694,43811,13523,9365,859,97,9140
"291","Shreveport, LA",-93.7501789,32.5251516,99,1294,358,485,33,0,430,5285,109,1209,414,309,26,0,503
"292","Sioux City, IA",-96.4049408,42.4963416,18,114,56,41,12,0,40,397,22,142,57,30,15,2,56
"293","Sioux Falls, SD",-96.7311034,43.5445959,71,1393,457,442,78,2,410,4990,82,1335,529,324,83,6,463
"294","Sitka, AK",-135.33,57.0530556,14,281,93,64,4,1,72,1344,12,227,65,32,11,5,66
"295","South Bend, IN",-86.2519898,41.6763545,94,1556,492,434,71,0,620,5653,86,1465,616,445,86,4,436
"296","Spokane, WA",-117.4260465,47.6587802,48,4000,1140,1115,72,6,1058,12143,66,3296,981,588,64,3,969
"297","Springfield, IL",-89.6501481,39.7817213,31,323,116,105,14,0,129,1295,30,313,145,74,7,0,131
"298","Springfield, MO",-93.2922989,37.2089572,109,1149,376,390,68,6,301,4699,118,1232,498,289,103,0,393
"299","St. Augustine, FL",-81.3124341,29.9012437,0,33,19,18,0,0,23,60,0,36,15,15,0,0,26
"300","St. Cloud, MN",-94.1632404,45.5579451,1,19,4,5,0,0,2,71,1,28,7,5,0,2,9
"301","St. George, UT",-113.5684164,37.0965278,4,442,194,128,11,0,148,3030,4,621,203,96,4,0,195
"302","St. Louis, MO",-90.1994042,38.6270025,710,23391,4209,6322,401,32,6699,59350,733,25478,5024,5856,367,20,6516
"303","St. Petersburg, FL",-82.6402915,27.7676008,16,832,250,206,30,4,291,2559,12,508,145,172,28,0,119
"304","State College, PA",-77.8600012,40.7933949,17,411,102,126,11,1,140,1494,16,367,137,69,20,1,161
"305","Staunton, VA",-79.0716958,38.149576,2,14,8,4,2,0,9,74,1,19,6,3,1,0,4
"306","Stillwater, OK",-97.0583681,36.1156071,6,50,12,21,4,0,17,227,6,44,15,11,4,0,16
"307","Stockton, CA",-121.2907796,37.9577016,0,94,37,34,4,0,46,223,0,151,29,60,5,2,81
"308","Sun Valley/Hailey/Ketchum, ID",-114.3311763,43.6761518,14,313,77,77,14,0,61,1277,107,240,115,32,4,2,92
"309","Syracuse, NY",-76.1474244,43.0481221,289,2808,744,1112,102,3,946,8781,311,2244,1030,593,89,5,747
"310","Tallahassee, FL",-84.2807329,30.4382559,44,897,204,321,55,3,223,3348,54,794,215,196,29,0,276
"311","Tampa, FL",-82.4571776,27.950575,1319,26588,6934,7994,678,48,7045,70944,1360,25453,5864,6434,698,17,7632
"312","Texarkana, AR",-94.0376881,33.4417915,16,59,16,23,6,0,17,329,21,68,22,14,7,0,18
"313","Toledo, OH",-83.5378674,41.6528052,24,322,113,105,17,0,127,942,27,282,100,63,14,0,122
"314","Traverse City, MI",-85.6206317,44.7630567,71,941,343,317,49,1,362,3272,74,928,375,155,31,2,475
"315","Trenton, NJ",-74.759717,40.2205824,60,883,245,237,13,0,328,2149,45,749,248,213,36,0,238
"316","Tucson, AZ",-110.9747108,32.2226066,70,5933,1456,1763,120,9,1918,15958,91,4823,1268,1082,81,7,1267
"317","Tulsa, OK",-95.992775,36.1539816,187,5284,1134,1624,139,3,1574,14779,192,4024,911,820,82,6,1232
"318","Twin Falls, ID",-114.4700518,42.5558381,8,155,78,52,8,0,40,1169,9,219,90,29,18,1,83
"319","Tyler, TX",-95.3010624,32.3512601,26,102,31,37,14,0,38,478,28,138,43,22,7,0,52
"320","Valdosta, GA",-83.2784851,30.8327022,5,165,61,68,4,0,56,668,5,180,67,57,5,0,63
"321","Valparaiso, FL",-86.5027282,30.5085309,76,1296,332,407,91,1,327,4645,77,1043,315,223,22,2,354
"322","Waco, TX",-97.1466695,31.549333,14,107,41,37,11,0,43,468,17,115,29,32,8,0,46
"323","Washington, DC",-77.0368707,38.9071923,3196,43328,11638,12215,1567,74,12113,138488,3239,40257,13525,10892,1308,53,11630
"324","Waterloo, IA",-92.3425775,42.492786,12,178,82,49,13,0,81,647,13,172,56,43,8,0,62
"325","West Palm Beach/Palm Beach, FL",-80.0533746,26.7153424,605,9382,2965,3579,276,20,2640,24668,628,9187,2898,2676,142,13,3031
"326","West Yellowstone, MT",-111.1041092,44.6621493,2,32,31,17,2,0,6,232,3,103,18,13,0,0,35
"327","White Plains, NY",-73.7629097,41.0339862,264,3098,753,1442,90,9,1085,7685,285,2642,967,1219,63,8,951
"328","Wichita Falls, TX",-98.4933873,33.9137085,18,75,14,21,5,0,21,354,18,97,16,17,6,0,27
"329","Wichita, KS",-97.330053,37.6871761,97,2749,703,778,91,1,871,8713,107,2137,626,471,53,2,760
"330","Williston, ND",-103.6179745,48.1469683,9,247,108,66,15,0,78,1326,10,272,129,61,31,2,82
"331","Wilmington, NC",-77.9447102,34.2257255,82,967,332,342,60,2,324,3293,83,819,216,130,25,1,317
"332","Worcester, MA",-71.8022934,42.2625932,30,287,63,124,14,0,76,718,30,260,107,123,3,0,141
"333","Wrangell, AK",-132.3766666,56.4708333,7,212,83,35,13,1,75,726,13,152,56,15,6,0,71
"334","Yakutat, AK",-139.7272808,59.5469878,5,156,61,18,3,0,70,724,13,130,56,23,7,2,56
"335","Youngstown/Warren, OH",-80.8184166,41.2375569,0,2,2,2,0,0,0,2,0,2,1,0,0,0,1
"336","Yuma, AZ",-114.6276916,32.6926512,2,338,58,101,3,2,111,1380,2,307,53,26,0,2,81
