"","city_name","lon","lat","flights.sum","cancelled.counter","delay.counter","nas_delay.counter","carrier_delay.counter","weather_delay.counter","security_delay.counter","late_aircraft_delay.counter"
"321","Valparaiso, FL",-86.5027282,30.5085309,4646,76,1296,332,407,91,1,327
"322","Waco, TX",-97.1466695,31.549333,469,14,107,41,37,11,0,43
"323","Washington, DC",-77.0368707,38.9071923,138477,3196,43328,11638,12215,1567,74,12113
"324","Waterloo, IA",-92.3425775,42.492786,646,12,178,82,49,13,0,81
"325","West Palm Beach/Palm Beach, FL",-80.0533746,26.7153424,24666,605,9382,2965,3579,276,20,2640
"326","West Yellowstone, MT",-111.1041092,44.6621493,232,2,32,31,17,2,0,6
"327","White Plains, NY",-73.7629097,41.0339862,7688,264,3098,753,1442,90,9,1085
"328","Wichita Falls, TX",-98.4933873,33.9137085,355,18,75,14,21,5,0,21
"329","Wichita, KS",-97.330053,37.6871761,8712,97,2749,703,778,91,1,871
"330","Williston, ND",-103.6179745,48.1469683,1327,9,247,108,66,15,0,78
"331","Wilmington, NC",-77.9447102,34.2257255,3294,82,967,332,342,60,2,324
"332","Worcester, MA",-71.8022934,42.2625932,730,30,287,63,124,14,0,76
"333","Wrangell, AK",-132.3766666,56.4708333,726,7,212,83,35,13,1,75
"334","Yakutat, AK",-139.7272808,59.5469878,724,5,156,61,18,3,0,70
"335","Youngstown/Warren, OH",-80.8184166,41.2375569,2,0,2,2,2,0,0,0
"336","Yuma, AZ",-114.6276916,32.6926512,1379,2,338,58,101,3,2,111
