"","city_name","lat","lon","flights.sum","cancelled.counter","delay.counter","nas_delay.counter","carrier_delay.counter","weather_delay.counter","security_delay.counter","late_aircraft_delay.counter"
"321","Valparaiso, FL",30.5085309,-86.5027282,4645,77,1043,315,223,22,2,354
"322","Waco, TX",31.549333,-97.1466695,468,17,115,29,32,8,0,46
"323","Washington, DC",38.9071923,-77.0368707,138488,3239,40257,13525,10892,1308,53,11630
"324","Waterloo, IA",42.492786,-92.3425775,647,13,172,56,43,8,0,62
"325","West Palm Beach/Palm Beach, FL",26.7153424,-80.0533746,24668,628,9187,2898,2676,142,13,3031
"326","West Yellowstone, MT",44.6621493,-111.1041092,232,3,103,18,13,0,0,35
"327","White Plains, NY",41.0339862,-73.7629097,7685,285,2642,967,1219,63,8,951
"328","Wichita Falls, TX",33.9137085,-98.4933873,354,18,97,16,17,6,0,27
"329","Wichita, KS",37.6871761,-97.330053,8713,107,2137,626,471,53,2,760
"330","Williston, ND",48.1469683,-103.6179745,1326,10,272,129,61,31,2,82
"331","Wilmington, NC",34.2257255,-77.9447102,3293,83,819,216,130,25,1,317
"332","Worcester, MA",42.2625932,-71.8022934,718,30,260,107,123,3,0,141
"333","Wrangell, AK",56.4708333,-132.3766666,726,13,152,56,15,6,0,71
"334","Yakutat, AK",59.5469878,-139.7272808,724,13,130,56,23,7,2,56
"335","Youngstown/Warren, OH",41.2375569,-80.8184166,2,0,2,1,0,0,0,1
"336","Yuma, AZ",32.6926512,-114.6276916,1380,2,307,53,26,0,2,81
